opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
"(50.0, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546, 51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(50.0, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324, 0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(50.0, [89.19931707485583, 24.699417433981232, 61.71589467342137, 44.52891772388693, 44.17908428163456, 98.83094759586284, 27.347907041159804, 41.019744297101134, 7.447133106203852, 62.33742346554026])","(50.0, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135, 94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(50.0, [82.22657137963122, 51.2020478413356, 35.837816825922786, 9.355354300017705, 26.12135987156352, 39.809086966613215, 79.81583660641927, 19.888911903173877, 92.2526140630413, 83.9839918020661])","(50.0, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525, 57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])","(50.0, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925, 37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(50.0, [49.673158197948965, 9.994133727630084, 21.173398712378454, 83.64333189291561, 13.647574001189533, 56.39357414951787, 28.894120550090452, 72.49410529823945, 94.48879511619273, 76.05454308487417])","(50.0, [41.39002289107274, 30.731439608184118, 3.331845277061307, 75.44273134505052, 17.850107450438724, 89.8498152517959, 62.9069430581538, 29.95927721528876, 78.32584568093979, 47.90170899080351])","(50.0, [30.580373305919405, 19.87676256533103, 13.851954217093388, 61.60992783365007, 2.859112007860276, 69.90677634234756, 79.21950522329988, 50.52746650644339, 33.190307730850854, 60.72696035474215])"
