opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
"(50.0, [91.46050397630539, 95.26012607792995])","(50.0, [70.88917063542844, 68.68656099830244])","(50.0, [66.23791977505348, 74.18654566341193])","(50.0, [58.5288764832832, 4.584128318007608])","(50.0, [51.119756165494465, 67.79278799817723])","(50.0, [30.059210407593717, 84.06614847380408])","(50.0, [21.501416341531264, 79.9630936536505])","(50.0, [21.297682686309514, 95.83924327148117])","(50.0, [7.347168528417702, 13.10681384944614])","(50.0, [1.23514060766734, 2.21846841825869])"
